country_iso3;country;region_id;region_name;city;longitude;latitude;svg_x;svg_y;svg_width;svg_height;coordinate_note
ALB;Albania;alb-r1;Albania;Tirana;19.818700;41.327500;908.08;995.17;1800;1200;"SVG: origin top-left; x right; y down"
AND;Andora;and-r1;Andora;Andora;1.521800;42.506300;526.66;966.01;1800;1200;"SVG: origin top-left; x right; y down"
ARM;Armenia;arm-r1;Armenia;Erywań;44.515200;40.187200;1413.99;873.43;1800;1200;"SVG: origin top-left; x right; y down"
AUT;Austria;aut-r1;Austria;Wiedeń;16.373800;48.208200;820.39;812.01;1800;1200;"SVG: origin top-left; x right; y down"
AZE;Azerbejdżan;aze-r1;Azerbejdżan;Baku;49.867100;40.409300;1510.33;812.86;1800;1200;"SVG: origin top-left; x right; y down"
BLR;Białoruś;blr-r1;Region Mińsk;Mińsk;27.561500;53.904500;988.00;623.17;1800;1200;"SVG: origin top-left; x right; y down"
BLR;Białoruś;blr-r2;Region Brześć;Brześć;23.687700;52.097600;935.39;686.55;1800;1200;"SVG: origin top-left; x right; y down"
BLR;Białoruś;blr-r3;Region Homel;Homel;30.975400;52.434500;1053.84;647.88;1800;1200;"SVG: origin top-left; x right; y down"
BEL;Belgia;bel-r1;Belgia;Bruksela;4.351700;50.850300;601.96;739.58;1800;1200;"SVG: origin top-left; x right; y down"
BIH;Bośnia i Hercegowina;bih-r1;Bośnia i Hercegowina;Sarajewo;18.413100;43.856300;871.35;928.81;1800;1200;"SVG: origin top-left; x right; y down"
BGR;Bułgaria;bgr-r1;Region Sofia;Sofia;23.321900;42.697700;974.75;946.29;1800;1200;"SVG: origin top-left; x right; y down"
BGR;Bułgaria;bgr-r2;Region Warna;Warna;27.914700;43.214100;1063.95;912.67;1800;1200;"SVG: origin top-left; x right; y down"
HRV;Chorwacja;hrv-r1;Chorwacja;Zagrzeb;15.981900;45.815000;818.31;879.14;1800;1200;"SVG: origin top-left; x right; y down"
